Key,English,Spanish,Russian,Ukrainian,French,Italian,Arabic,Portuguese,German,Urdu
Text.LocalPlay,Local Play,Juego local,Локальная игра,Локальна гра,Jeu local,Gioco locale,اللعب المحلي,Jogo Local,Lokales Spielen,مقامی کھیلیں
Text.ChooseATable,Choose a Table,Elige una mesa,Выберите стол,Виберіть стіл,Choisissez un tableau,Scegli un tavolo,اختر جدولاً,Escolha uma mesa,Wählen Sie eine Tabelle,ایک ٹیبل کا انتخاب کریں۔
Text.CreateATable,Create a Table,Crear una tabla,Создать таблицу,Створіть таблицю,Créer un tableau,Crea una tabella,إنشاء جدول,Crie uma tabela,Erstellen Sie eine Tabelle,ایک ٹیبل بنائیں
Text.EnterName,Enter Name,Ingrese su nombre,Введите имя,Введіть ім'я,Entrez le nom,Inserisci il nome,أدخل الاسم,Insira o nome,Name eingeben,نام درج کریں
Text.StartGame,Start Game,Empezar juego,Начать игру,Почни гру,Démarrer jeu,Inizia il gioco,بدء اللعبة,Começar o jogo,Spiel beginnen,کھیل شروع کریں۔
Text.Information,Information,Información,Информация,Інформація,Information,Informazione,معلومة,Informação,Information,معلومات
Text.MainMenu,Main Menu,Menú principal,Главное меню,Головне меню,Menu principal,Menu principale,القائمة الرئيسية,Menu principal,Hauptmenü,مین مینو
Text.NewGame,New Game,Nuevo juego,Новая игра,Нова гра,Nouveau jeu,Nuovo gioco,لعبة جديدة,Novo jogo,Neues Spiel,نیا کھیل
Text.RollTheDice,Roll the dice,Tirar los dados,Бросить кости,Кинути кістки,Lancer les dés,Tira i dadi,رمي النرد,Lance os dados,Würfeln,ڈائس رول کریں۔
Text.Player0,{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
Text.Player1,{0},{0},{0},{0},{0},{0},{0},{0},{0},{0}
Text.Winner:,Winner: {0},Ganador: {0},Победитель: {0},Переможець: {0},Gagnant : {0},Vincitore: {0},الفائز: {0},Vencedor: {0},Gewinner: {0},فاتح: {0}
"Text.PressThe""New Game""ButtonToStartTheGame.","PressThe ""New Game"" Button To Start The Game.","Presione el botón ""Nuevo juego"" para iniciar el juego.","Нажмите кнопку «Новая игра», чтобы начать игру.","Натисніть кнопку «Нова гра», щоб почати гру.",Appuyez sur le bouton « Nouveau jeu » pour démarrer le jeu.,"Premi il pulsante ""Nuovo gioco"" per avviare il gioco.","اضغط على زر ""لعبة جديدة"" لبدء اللعبة.","Pressione o botão ""Novo jogo"" para iniciar o jogo.","Drücken Sie die Schaltfläche „Neues Spiel“, um das Spiel zu starten.","گیم شروع کرنے کے لیے ""نیا گیم"" بٹن دبائیں۔"
