Key,English,Spanish,Russian,Ukrainian,French,Italian,Arabic,Portuguese,German,Urdu
Text.h1,Initial Setup:,Configuración inicial:,Начальная настройка:,Початкове налаштування:,La configuration initiale:,Configurazione iniziale:,الإعداد الأولي:,Configuração inicial:,Ersteinrichtung:,ابتدائی ڈھانچہ:
Text.h2,Piece Movement:,Movimiento de piezas:,Движение фигуры:,Рух фігури:,Mouvement des pièces :,Movimento del pezzo:,حركة القطعة:,Movimento da peça:,Stückbewegung:,ٹکڑوں کی نقل و حرکت:
Text.h3,Capturing Pieces:,Capturando Piezas:,Захват фрагментов:,Захоплення частин:,Capturer des pièces :,Catturare pezzi:,التقاط القطع:,Capturando peças:,Teile einfangen:,ٹکڑوں پر قبضہ کرنا:
Text.h4,Bar:,Bar:,Бар:,Бар:,Bar:,Sbarra:,حاجِز:,Bar:,Bar:,بار:
Text.h5,Double:,Doble:,Двойной:,Двомісний:,Double:,Doppio:,مزدوج:,Dobro:,Doppelt:,دگنا:
Text.h6,Winning:,Victorioso:,Победа:,Перемога:,Gagnant:,Vincente:,الفوز:,Ganhando:,Gewinnen:,جیتنا:
Text.p1,Players place their checkers on the corresponding points. Each player starts with 15 checkers.,Los jugadores colocan sus fichas en los puntos correspondientes. Cada jugador comienza con 15 fichas.,Игроки ставят свои шашки на соответствующие точки. Каждый игрок начинает с 15 шашками.,Гравці ставлять свої шашки на відповідні точки. Кожен гравець починає з 15 шашок.,Les joueurs placent leurs pions sur les points correspondants. Chaque joueur commence avec 15 pions.,I giocatori posizionano le loro pedine sui punti corrispondenti. Ogni giocatore inizia con 15 pedine.,يضع اللاعبون قطع الداما الخاصة بهم على النقاط المقابلة. يبدأ كل لاعب بـ 15 قطعة.,Os jogadores colocam suas peças nos pontos correspondentes. Cada jogador começa com 15 peças.,Die Spieler legen ihre Steine ​​auf die entsprechenden Punkte. Jeder Spieler beginnt mit 15 Steinen.,کھلاڑی اپنے چیکرس کو متعلقہ پوائنٹس پر رکھتے ہیں۔ ہر کھلاڑی 15 چیکرس سے شروع ہوتا ہے۔
Text.p2,Players roll two dice to determine the number of moves they can make. Checkers move forward on the backgammon board according to the values rolled on the dice. A player can move one or two checkers depending on the results of the roll.,Los jugadores tiran dos dados para determinar la cantidad de movimientos que pueden realizar. Las damas avanzan en el tablero de backgammon según los valores arrojados en los dados. Un jugador puede mover una o dos fichas dependiendo de los resultados de la tirada.,"Игроки бросают два кубика, чтобы определить количество ходов, которые они могут сделать. Шашки движутся вперед по доске для игры в нарды в соответствии со значениями, выпавшими на игральных костях. В зависимости от результатов броска игрок может переместить одну или две шашки.","Гравці кидають два кубики, щоб визначити кількість ходів, які вони можуть зробити. Шашки рухаються вперед на дошці для нард відповідно до значень, викинутих на кубиках. Гравець може перемістити одну або дві шашки в залежності від результатів кидка.",Les joueurs lancent deux dés pour déterminer le nombre de mouvements qu'ils peuvent effectuer. Les pions avancent sur le plateau de backgammon en fonction des valeurs lancées sur les dés. Un joueur peut déplacer un ou deux pions en fonction du résultat du lancer.,I giocatori lanciano due dadi per determinare il numero di mosse che possono effettuare. Le pedine avanzano sul tabellone del backgammon in base ai valori lanciati sui dadi. Un giocatore può muovere una o due pedine a seconda del risultato del lancio.,يقوم اللاعبون برمي حجري نرد لتحديد عدد الحركات التي يمكنهم القيام بها. تتحرك قطع الداما للأمام على لوحة الطاولة وفقًا للقيم الملقاة على النرد. يمكن للاعب تحريك قطعة أو اثنتين من قطع الداما اعتمادًا على نتائج الرمية.,Os jogadores lançam dois dados para determinar o número de movimentos que podem fazer. As damas avançam no tabuleiro de gamão de acordo com os valores lançados nos dados. Um jogador pode mover uma ou duas peças dependendo dos resultados do lançamento.,"Die Spieler würfeln mit zwei Würfeln, um die Anzahl der Züge zu bestimmen, die sie ausführen können. Die Steine ​​rücken auf dem Backgammon-Brett entsprechend den gewürfelten Werten vorwärts. Abhängig vom Ergebnis des Wurfs kann ein Spieler einen oder zwei Steine ​​bewegen.",کھلاڑی ان چالوں کی تعداد کا تعین کرنے کے لیے دو ڈائس رول کرتے ہیں جو وہ کر سکتے ہیں۔ چیکرز ڈائس پر لپی ہوئی اقدار کے مطابق بیکگیمن بورڈ پر آگے بڑھتے ہیں۔ ایک کھلاڑی رول کے نتائج کے لحاظ سے ایک یا دو چیکرس کو منتقل کر سکتا ہے۔
Text.p3,A player can capture an opponent's checker if there is only one opposing checker on the corresponding point. The captured checker is placed on the player's bar.,Un jugador puede capturar la ficha de un oponente si solo hay una ficha enemiga en el punto correspondiente. La ficha capturada se coloca en la barra del jugador.,"Игрок может захватить шашку противника, если на соответствующем пункте находится только одна шашка противника. Захваченная шашка кладется на полосу игрока.","Гравець може взяти шашку суперника, якщо на відповідній точці є лише одна шашка суперника. Здобута шашка кладеться на панель гравця.",Un joueur peut capturer le pion d'un adversaire s'il n'y a qu'un seul pion adverse sur le point correspondant. Le pion capturé est placé sur la barre du joueur.,Un giocatore può catturare la pedina di un avversario se c'è solo una pedina avversaria sulla punta corrispondente. La pedina catturata viene posizionata sulla barra del giocatore.,يمكن للاعب التقاط قطعة الخصم إذا كان هناك قطعة واحدة فقط معارضة في النقطة المقابلة. يتم وضع المدقق الذي تم التقاطه على شريط اللاعب.,Um jogador pode capturar uma peça adversária se houver apenas uma peça adversária no ponto correspondente. A peça capturada é colocada na barra do jogador.,"Ein Spieler kann den Stein eines Gegners schlagen, wenn sich nur ein gegnerischer Stein auf dem entsprechenden Punkt befindet. Der geschlagene Stein wird auf die Leiste des Spielers gelegt.",ایک کھلاڑی مخالف کے چیکر کو پکڑ سکتا ہے اگر متعلقہ پوائنٹ پر صرف ایک مخالف چیکر ہو۔ پکڑے گئے چیکر کو کھلاڑی کی بار پر رکھا جاتا ہے۔
Text.p4,"Captured checkers are placed on the player's bar. To bear off checkers from the bar, a player must use rolls that allow the checkers to re-enter the opponent's board.","Las fichas capturadas se colocan en la barra del jugador. Para sacar las fichas de la barra, un jugador debe utilizar tiradas que permitan a las fichas volver a entrar en el tablero del oponente.","Захваченные шашки кладутся на полосу игрока. Чтобы оторвать шашки от штанги, игрок должен использовать броски, позволяющие шашкам повторно войти на доску противника.","Захоплені шашки кладуться на панель гравця. Щоб відірвати шашки від штанги, гравець повинен використовувати кидки, які дозволяють шашкам знову вийти на дошку суперника.","Les pions capturés sont placés sur la barre du joueur. Pour éliminer les pions de la barre, un joueur doit utiliser des lancers qui permettent aux pions de réintégrer le plateau adverse.","Le pedine catturate vengono posizionate sulla barra del giocatore. Per portare fuori le pedine dal bar, un giocatore deve utilizzare tiri che consentano alle pedine di rientrare nella scacchiera dell'avversario.",يتم وضع قطع الداما التي تم التقاطها على شريط اللاعب. لإخراج قطع الداما من الشريط، يجب على اللاعب استخدام اللفات التي تسمح لقطع الداما بإعادة الدخول إلى لوحة الخصم.,"As damas capturadas são colocadas na barra do jogador. Para retirar as damas da barra, o jogador deve usar lançamentos que permitam que as damas entrem novamente no tabuleiro do oponente.","Gefangene Steine ​​werden auf die Leiste des Spielers gelegt. Um Steine ​​von der Bar abzuwerfen, muss ein Spieler Würfe verwenden, die es den Steinen ermöglichen, wieder auf das gegnerische Brett zu gelangen.",پکڑے گئے چیکرز کھلاڑی کی بار پر رکھے جاتے ہیں۔ بار سے چیکرس کو برداشت کرنے کے لیے، ایک کھلاڑی کو رولز کا استعمال کرنا چاہیے جو چیکرس کو مخالف کے بورڈ میں دوبارہ داخل ہونے کی اجازت دیتے ہیں۔
